ID,Year,Month,Bicycle,Horse,On Foot,Wheelchair,Not specified,Sailboat,Total
201602,2016,2,85,0,1648,0,0,0,1733
201603,2016,3,698,20,10348,1,0,0,11067
201604,2016,4,1215,6,13854,25,0,0,15100
201605,2016,5,2920,54,29790,12,0,0,32776
201606,2016,6,4231,56,34758,25,0,0,39070
201607,2016,7,3379,29,42047,16,0,0,45471
201608,2016,8,4967,61,48661,15,0,0,53704
201609,2016,9,3538,35,36557,9,0,10,40149
201610,2016,10,1819,37,26341,22,0,3,28222
201611,2016,11,324,9,6061,0,0,0,6394
201612,2016,12,141,35,2686,0,0,2,2864
201701,2017,1,53,0,1299,2,0,0,1354
201702,2017,2,57,0,1639,0,0,0,1696
201703,2017,3,262,11,4902,1,0,0,5176
201704,2017,4,2004,75,24845,1,0,0,26925
201705,2017,5,2907,62,32377,1,0,0,35347
201706,2017,6,3631,58,37928,2,0,0,41619
201707,2017,7,3272,64,44036,4,0,94,47470
201708,2017,8,4199,67,53349,9,0,56,57680
201709,2017,9,3203,25,38938,21,0,2,42189
201710,2017,10,1848,50,29442,1,0,0,31341
201711,2017,11,334,1,7009,1,0,1,7346
201712,2017,12,163,4,2726,0,0,0,2893
201801,2018,1,51,0,1576,0,0,0,1627
201802,2018,2,96,4,2081,0,0,0,2181
201803,2018,3,332,2,10720,2,0,0,11056
201804,2018,4,1227,44,20795,2,0,0,22068
201805,2018,5,2923,44,37689,9,0,0,40665
201806,2018,6,3789,24,41857,14,0,1,45685
201807,2018,7,2720,33,48035,4,0,75,50867
201808,2018,8,3883,32,56421,28,0,51,60415
201809,2018,9,3299,52,43645,7,0,3,47006
201810,2018,10,2045,59,33489,9,0,0,35602
201811,2018,11,331,16,7300,4,0,0,7651
201812,2018,12,90,8,2455,0,0,0,2553
201901,2019,1,51,1,1599,0,0,0,1651
201902,2019,2,55,0,2063,1,0,0,2119
201903,2019,3,329,23,7118,4,0,0,7474
201904,2019,4,1543,62,30113,4,0,0,31722
201905,2019,5,2752,68,43834,15,0,4,46673
201906,2019,6,4100,76,44860,3,0,19,49058
201907,2019,7,2516,48,50648,16,0,91,53319
201908,2019,8,3709,69,58921,7,0,108,62814
201909,2019,9,2565,50,43021,11,0,6,45653
201910,2019,10,1527,6,34553,22,0,10,36118
201911,2019,11,323,0,7951,0,0,0,8274
201912,2019,12,93,3,2607,2,0,5,2710
202001,2020,1,66,0,1935,0,0,0,2001
202002,2020,2,101,11,2962,2,0,0,3076
202003,2020,3,58,0,1890,0,0,0,1948
202006,2020,6,0,0,12,0,0,0,12
202007,2020,7,736,9,8998,2,0,7,9752
202008,2020,8,1798,11,17988,4,0,11,19812
202009,2020,9,1123,13,9302,3,0,0,10441
202010,2020,10,581,12,5824,1,0,0,6418
202011,2020,11,18,3,559,0,0,5,585
202012,2020,12,12,0,87,0,0,0,99
202101,2021,1,2,0,57,1,0,0,60
202102,2021,2,2,0,12,0,0,0,14
202103,2021,3,5,2,187,0,0,0,194
202104,2021,4,26,2,996,0,0,0,1024
202105,2021,5,387,9,3898,0,0,1,4295
202106,2021,6,1473,19,13277,3,0,52,14824
202107,2021,7,2148,13,31763,6,0,33,33963
202108,2021,8,2132,53,41332,17,0,41,43575
202109,2021,9,2240,41,35150,3,0,29,37463
202110,2021,10,1875,55,29236,2,0,2,31170
202111,2021,11,405,4,8679,2,0,4,9094
202112,2021,12,21,1,1168,1,0,2,1193
202201,2022,1,29,3,1585,0,0,0,1617
202202,2022,2,62,5,1959,0,0,8,2034
202203,2022,3,197,15,7177,0,0,0,7389
202204,2022,4,1522,57,32674,5,0,25,34283
202205,2022,5,2880,77,45264,19,0,14,48254
202206,2022,6,4417,83,53359,25,0,128,58012
202207,2022,7,3222,46,63952,16,0,138,67374
202208,2022,8,3703,129,81945,20,0,45,85842
202209,2022,9,3777,94,62228,20,0,77,66196
202210,2022,10,2522,24,48788,19,0,3,51356
202211,2022,11,367,12,10895,1,0,8,11283
202212,2022,12,165,0,4513,2,1,2,4683
202301,2023,1,61,3,1964,0,0,0,2028
202302,2023,2,103,3,2750,0,0,0,2856
202304,2023,4,907,18,23241,8,0,2,24176
