ID,Year,Month,Identifier,Total
201705,2017,5,201705,35347
201706,2017,6,201706,41619
201707,2017,7,201707,47470
201708,2017,8,201708,57680
201709,2017,9,201709,42189
201710,2017,10,201710,31341
201711,2017,11,201711,7346
201712,2017,12,201712,2893
201801,2018,1,201801,1627
201802,2018,2,201802,2181
201803,2018,3,201803,11056
201804,2018,4,201804,22068
201805,2018,5,201805,40665
201806,2018,6,201806,45685
201807,2018,7,201807,50867
201808,2018,8,201808,60415
201809,2018,9,201809,47006
201810,2018,10,201810,35602
201811,2018,11,201811,7651
201812,2018,12,201812,2553
201901,2019,1,201901,1651
201902,2019,2,201902,2119
201903,2019,3,201903,7474
201904,2019,4,201904,31722
201905,2019,5,201905,46673
201906,2019,6,201906,49058
201907,2019,7,201907,53319
201908,2019,8,201908,62814
201909,2019,9,201909,45653
201910,2019,10,201910,36118
201911,2019,11,201911,8274
201912,2019,12,201912,2710
202001,2020,1,202001,2001
202002,2020,2,202002,3076
202003,2020,3,202003,1948
202006,2020,6,202006,12
202007,2020,7,202007,9752
202008,2020,8,202008,19812
202009,2020,9,202009,10441
202010,2020,10,202010,6418
202011,2020,11,202011,585
202012,2020,12,202012,99
202101,2021,1,202101,60
202102,2021,2,202102,14
202103,2021,3,202103,194
202104,2021,4,202104,1024
202105,2021,5,202105,4295
202106,2021,6,202106,14824
202107,2021,7,202107,33963
202108,2021,8,202108,43575
202109,2021,9,202109,37463
202110,2021,10,202110,31170
202111,2021,11,202111,9094
202112,2021,12,202112,1193
202201,2022,1,202201,1617
202202,2022,2,202202,2034
202203,2022,3,202203,7389
202204,2022,4,202204,34283
202205,2022,5,202205,48254
202206,2022,6,202206,58012
202207,2022,7,202207,67374
202208,2022,8,202208,85842
202209,2022,9,202209,66196
202210,2022,10,202210,51356
202211,2022,11,202211,11283
202212,2022,12,202212,4683
202301,2023,1,202301,2028
202302,2023,2,202302,2856
202304,2023,4,202304,24176
